"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"75,8,ae52d143-ddee-4318-9414-02ca87f6d2a0,1Wtoe48_Unig414jPXRgSCdE_wUL4OV0K,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:43.027131+00"
"76,8,e0bfeda7-1805-4790-9789-78aef40d865a,1UkjBCmb78R_UFmb04tRDFiYG4GUGRxHz,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:44.725868+00"
"77,8,cfcc4ee1-f64f-45e5-b50b-782b67e37fac,1ROmUBqXEFtvXw04NIAx-DEwJ_9jHEHCT,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:46.326234+00"
"78,8,6b7309ad-1ed4-4f8b-b607-7a033dce86e4,17VLI_2Waee8wiveFW6LzoAm8kVsk4qsb,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:47.827787+00"
"79,8,a614f38b-e545-49fa-8c93-cd0b0f9e2439,1jMSIwpMoihX_9fTX1laCqDkSKakI07yh,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:49.228658+00"
"80,8,e0360959-6bb7-4cb9-a08d-4301911c742a,1Z33aBq-_9PTq1QLHNheqCuR0CmXAIs8a,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:51.025471+00"
"81,8,336a338f-2754-4263-a577-c1cb80f47d20,1OBbClg_2dMcgc6HhQimpGRCKRs40_z9P,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:52.927816+00"
"82,8,01cb2661-3150-41f7-bfa5-d8e3c66ab497,15QYpD4Kb_iGu9fWC-cv9lfyDBZnTikL6,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:55.226952+00"
"83,8,e3090460-6780-4f5e-af19-81609a0e47b3,1zLBCOt_FeYvJ7CgS0ZoUE06fM4L2pgRn,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:56.427374+00"
"84,8,a24ab260-346a-47a4-a024-4dd6d4d4b046,18adHmdIC3KXjkPEIZ5b90QgteHWdRLTW,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:58.226634+00"
"85,8,aba69511-dca2-479d-a674-bdd74314893f,1xAOJEOMl_iMPqJ0Ytz6GVkA7MFZioFMo,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:04:59.427162+00"
"86,8,6a7b4cfd-b9ce-4324-a775-8d5a3ed9e462,18s3FMi-WTkNwrRH4fk8n2uVlW87PVQjh,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:05:00.627404+00"
"87,7,b7977fea-1331-414c-b23f-26da0dc898ea,1-cL-eDyN7ffeyyxEnUlCenq8ZM2ow8Hc,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:32.622895+00"
"88,7,304c30f7-482c-4344-8355-3be2624015f6,1xAsZ6f0w-bFOi0tHgidnvWzGBO-Z8roW,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:33.310042+00"
"89,7,31e32389-2b7f-4ee1-b9cd-5a93774cf3d4,1-f1A-Gm9hm5t-jBW8Q-fky-FhPmasaiS,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:33.419756+00"
